movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres,combination
the maze runner,Wes Ball,Ki Hong Lee,Aml Ameen,Jacob Latimore,Action Mystery Sci-Fi Thriller,wes ball ki hong lee aml ameen jacob latimore action mystery sci-fi thriller
unfinished business,Ken Scott,Tom Wilkinson,June Diane Raphael,Melissa McMeekin,Comedy,ken scott tom wilkinson june diane raphael melissa mcmeekin comedy
the age of innocence,Martin Scorsese,Richard E. Grant,Geraldine Chaplin,Stuart Wilson,Drama Romance,martin scorsese richard e. grant geraldine chaplin stuart wilson drama romance
the fountain,Darren Aronofsky,Hugh Jackman,Ellen Burstyn,Mark Margolis,Drama Sci-Fi,darren aronofsky hugh jackman ellen burstyn mark margolis drama sci-fi
chill factor,Hugh Johnson,David Paymer,Kevin J. O'Connor,Hudson Leick,Action Adventure Comedy Drama Thriller,hugh johnson david paymer kevin j. o'connor hudson leick action adventure comedy drama thriller
stolen,Simon West,Nicolas Cage,Mark Valley,Sami Gayle,Action Crime Drama Thriller,simon west nicolas cage mark valley sami gayle action crime drama thriller
ponyo,Hayao Miyazaki,Rumi Hiiragi,Yûki Amami,Yuria Nara,Adventure Animation Family Fantasy,hayao miyazaki rumi hiiragi yûki amami yuria nara adventure animation family fantasy
the longest ride,George Tillman Jr.,Tiago Riani,Melissa Benoist,Hayley Lovitt,Drama Romance,george tillman jr. tiago riani melissa benoist hayley lovitt drama romance
the astronaut's wife,Rand Ravich,Johnny Depp,Charlize Theron,Clea DuVall,Drama Sci-Fi Thriller,rand ravich johnny depp charlize theron clea duvall drama sci-fi thriller
i dreamed of africa,Hugh Hudson,Liam Aiken,Eva Marie Saint,Vincent Perez,Adventure Drama Romance,hugh hudson liam aiken eva marie saint vincent perez adventure drama romance
playing for keeps,Gabriele Muccino,Gerard Butler,Dennis Quaid,Judy Greer,Comedy Romance Sport,gabriele muccino gerard butler dennis quaid judy greer comedy romance sport
mandela: long walk to freedom,Justin Chadwick,Terry Pheto,Fana Mokoena,Tony Kgoroge,Biography Drama History,justin chadwick terry pheto fana mokoena tony kgoroge biography drama history
reds,Warren Beatty,Paul Sorvino,Warren Beatty,M. Emmet Walsh,Biography Drama History Romance,warren beatty paul sorvino warren beatty m. emmet walsh biography drama history romance
a few good men,Rob Reiner,Tom Cruise,Demi Moore,Kevin Pollak,Drama Thriller,rob reiner tom cruise demi moore kevin pollak drama thriller
exit wounds,Andrzej Bartkowiak,Michael Jai White,Bill Duke,Bruce McGill,Action Comedy Crime Drama Thriller,andrzej bartkowiak michael jai white bill duke bruce mcgill action comedy crime drama thriller
big momma's house,Raja Gosnell,Nia Long,Cedric the Entertainer,Tichina Arnold,Action Comedy Crime,raja gosnell nia long cedric the entertainer tichina arnold action comedy crime
thunder and the house of magic,Jeremy Degruson,Kyle Hebert,Brianne Brozey,Joe Ochman,Adventure Animation Comedy Family Fantasy,jeremy degruson kyle hebert brianne brozey joe ochman adventure animation comedy family fantasy
the darkest hour,Chris Gorak,Max Minghella,Veronika Vernadskaya,Dato Bakhtadze,Action Adventure Horror Sci-Fi Thriller,chris gorak max minghella veronika vernadskaya dato bakhtadze action adventure horror sci-fi thriller
step up revolution,Scott Speer,Ryan Guzman,Stephen Boss,Misha Gabriel Hamilton,Drama Music Romance,scott speer ryan guzman stephen boss misha gabriel hamilton drama music romance
snakes on a plane,David R. Ellis,Lin Shaye,Kenan Thompson,Rachel Blanchard,Action Adventure Crime Drama Thriller,david r. ellis lin shaye kenan thompson rachel blanchard action adventure crime drama thriller
the watcher,Joe Charbanic,Keanu Reeves,Joseph Sikora,Chris Ellis,Crime Horror Mystery Thriller,joe charbanic keanu reeves joseph sikora chris ellis crime horror mystery thriller
the punisher,Jonathan Hensleigh,Laura Harring,Marco St. John,Eddie Jemison,Action Crime Drama Thriller,jonathan hensleigh laura harring marco st. john eddie jemison action crime drama thriller
goal! the dream begins,Danny Cannon,Sean Pertwee,Kuno Becker,Stephen Dillane,Drama Romance Sport,danny cannon sean pertwee kuno becker stephen dillane drama romance sport
safe,Boaz Yakin,Jason Statham,Reggie Lee,Robert John Burke,Action Crime Thriller,boaz yakin jason statham reggie lee robert john burke action crime thriller
pushing tin,Mike Newell,Angelina Jolie Pitt,Kurt Fuller,Jake Weber,Comedy Drama Romance,mike newell angelina jolie pitt kurt fuller jake weber comedy drama romance
star wars: episode vi - return of the jedi,Richard Marquand,Harrison Ford,Ian McDiarmid,Kenny Baker,Action Adventure Fantasy Sci-Fi,richard marquand harrison ford ian mcdiarmid kenny baker action adventure fantasy sci-fi
doomsday,Neil Marshall,Ryan Kruger,Jason Cope,Jeremy Crutchley,Action Sci-Fi Thriller,neil marshall ryan kruger jason cope jeremy crutchley action sci-fi thriller
the reader,Stephen Daldry,Kate Winslet,David Kross,Susanne Lothar,Drama Romance,stephen daldry kate winslet david kross susanne lothar drama romance
wanderlust,David Wain,Justin Theroux,Lauren Ambrose,Joe Lo Truglio,Comedy,david wain justin theroux lauren ambrose joe lo truglio comedy
elf,Jon Favreau,Peter Dinklage,Zooey Deschanel,Will Ferrell,Comedy Family Fantasy Romance,jon favreau peter dinklage zooey deschanel will ferrell comedy family fantasy romance
phenomenon,Jon Turteltaub,Robert Duvall,Kyra Sedgwick,David Gallagher,Drama Fantasy Romance Sci-Fi,jon turteltaub robert duvall kyra sedgwick david gallagher drama fantasy romance sci-fi
snow dogs,Brian Levant,James Coburn,Nichelle Nichols,M. Emmet Walsh,Adventure Comedy Family Sport,brian levant james coburn nichelle nichols m. emmet walsh adventure comedy family sport
scrooged,Richard Donner,Bill Murray,Alfre Woodard,Robert Mitchum,Comedy Drama Fantasy,richard donner bill murray alfre woodard robert mitchum comedy drama fantasy
nacho libre,Jared Hess,Ana de la Reguera,Moises Arias,Héctor Jiménez,Comedy Family Sport,jared hess ana de la reguera moises arias héctor jiménez comedy family sport
bridesmaids,Paul Feig,Matt Lucas,Wendi McLendon-Covey,Steve Bannos,Comedy Romance,paul feig matt lucas wendi mclendon-covey steve bannos comedy romance
this is the end,Evan Goldberg,Channing Tatum,James Franco,Emma Watson,Comedy Fantasy,evan goldberg channing tatum james franco emma watson comedy fantasy
stigmata,Rupert Wainwright,Nia Long,Enrico Colantoni,Portia de Rossi,Horror,rupert wainwright nia long enrico colantoni portia de rossi horror
men of honor,George Tillman Jr.,Robert De Niro,Charlize Theron,Michael Rapaport,Biography Drama,george tillman jr. robert de niro charlize theron michael rapaport biography drama
takers,John Luessenhop,Paul Walker,Hayden Christensen,Jay Hernandez,Action Crime Thriller,john luessenhop paul walker hayden christensen jay hernandez action crime thriller
the big wedding,Justin Zackham,Robin Williams,Robert De Niro,Topher Grace,Comedy,justin zackham robin williams robert de niro topher grace comedy
"big mommas: like father, like son",John Whitesell,Brandon T. Jackson,Tony Curran,Portia Doubleday,Action Comedy Crime,john whitesell brandon t. jackson tony curran portia doubleday action comedy crime
source code,Duncan Jones,Jake Gyllenhaal,Cas Anvar,Russell Peters,Mystery Sci-Fi Thriller,duncan jones jake gyllenhaal cas anvar russell peters mystery sci-fi thriller
alive,Frank Marshall,Illeana Douglas,Danny Nucci,Michael DeLorenzo,Adventure Biography Drama Thriller,frank marshall illeana douglas danny nucci michael delorenzo adventure biography drama thriller
the number 23,Joel Schumacher,Logan Lerman,Virginia Madsen,Ed Lauter,Mystery Thriller,joel schumacher logan lerman virginia madsen ed lauter mystery thriller
the young and prodigious t.s. spivet,Jean-Pierre Jeunet,Callum Rennie,Julian Richings,Judy Davis,Action Adventure Drama Family,jean-pierre jeunet callum rennie julian richings judy davis action adventure drama family
1941,Steven Spielberg,Christopher Lee,John Belushi,Treat Williams,Action Comedy War,steven spielberg christopher lee john belushi treat williams action comedy war
dreamer: inspired by a true story,John Gatins,Ken Howard,Freddy Rodríguez,Holmes Osborne,Drama Family Sport,john gatins ken howard freddy rodríguez holmes osborne drama family sport
a history of violence,David Cronenberg,Viggo Mortensen,Kyle Schmid,William Hurt,Crime Drama Thriller,david cronenberg viggo mortensen kyle schmid william hurt crime drama thriller
transporter 2,Louis Leterrier,Jason Statham,Jason Flemyng,Matthew Modine,Action Crime Thriller,louis leterrier jason statham jason flemyng matthew modine action crime thriller
the quick and the dead,Sam Raimi,Leonardo DiCaprio,Pat Hingle,Roberts Blossom,Action Thriller Western,sam raimi leonardo dicaprio pat hingle roberts blossom action thriller western
laws of attraction,Peter Howitt,Frances Fisher,Mike Doyle,Nora Dunn,Comedy Romance,peter howitt frances fisher mike doyle nora dunn comedy romance
bringing out the dead,Martin Scorsese,Nicolas Cage,Marc Anthony,Sonja Sohn,Drama Thriller,martin scorsese nicolas cage marc anthony sonja sohn drama thriller
repo men,Miguel Sapochnik,Alice Braga,RZA,Yvette Nicole Brown,Action Crime Sci-Fi Thriller,miguel sapochnik alice braga rza yvette nicole brown action crime sci-fi thriller
dragon wars: d-war,Hyung-rae Shim,Robert Forster,Aimee Garcia,Chris Mulkey,Action Drama Fantasy Horror Thriller,hyung-rae shim robert forster aimee garcia chris mulkey action drama fantasy horror thriller
bogus,Norman Jewison,Haley Joel Osment,Nancy Travis,Andrea Martin,Comedy Family Fantasy,norman jewison haley joel osment nancy travis andrea martin comedy family fantasy
the incredible burt wonderstone,Don Scardino,Steve Buscemi,Olivia Wilde,Steve Carell,Comedy,don scardino steve buscemi olivia wilde steve carell comedy
cats don't dance,Mark Dindal,George Kennedy,Frank Welker,Hal Holbrook,Animation Comedy Family Fantasy Musical,mark dindal george kennedy frank welker hal holbrook animation comedy family fantasy musical
cradle will rock,Tim Robbins,Bill Murray,Vanessa Redgrave,Emily Watson,Drama,tim robbins bill murray vanessa redgrave emily watson drama
the good german,Steven Soderbergh,Tony Curran,Beau Bridges,Leland Orser,Drama Mystery Thriller,steven soderbergh tony curran beau bridges leland orser drama mystery thriller
george and the dragon,Tom Reeve,Joan Plowright,Rollo Weeks,Simon Callow,Action Adventure Comedy Fantasy Romance,tom reeve joan plowright rollo weeks simon callow action adventure comedy fantasy romance
apocalypse now,Francis Ford Coppola,Harrison Ford,Marlon Brando,Robert Duvall,Drama War,francis ford coppola harrison ford marlon brando robert duvall drama war
going the distance,Nanette Burstein,Rob Riggle,Kelli Garner,Jim Gaffigan,Comedy Romance,nanette burstein rob riggle kelli garner jim gaffigan comedy romance
mr. holland's opus,Stephen Herek,Alicia Witt,Olympia Dukakis,Jean Louisa Kelly,Drama Music,stephen herek alicia witt olympia dukakis jean louisa kelly drama music
criminal,Ariel Vromen,Gary Oldman,Jordi Mollà,Doug Cockle,Action Crime Drama Mystery Sci-Fi Thriller,ariel vromen gary oldman jordi mollà doug cockle action crime drama mystery sci-fi thriller
out of africa,Sydney Pollack,Meryl Streep,Michael Gough,Michael Kitchen,Biography Drama Romance,sydney pollack meryl streep michael gough michael kitchen biography drama romance
flight,Robert Zemeckis,Denzel Washington,Bruce Greenwood,Nadine Velazquez,Drama Thriller,robert zemeckis denzel washington bruce greenwood nadine velazquez drama thriller
moonraker,Lewis Gilbert,Desmond Llewelyn,Lois Chiles,Lois Maxwell,Action Adventure Sci-Fi Thriller,lewis gilbert desmond llewelyn lois chiles lois maxwell action adventure sci-fi thriller
the grand budapest hotel,Wes Anderson,Bill Murray,Tom Wilkinson,F. Murray Abraham,Adventure Comedy Crime Drama,wes anderson bill murray tom wilkinson f. murray abraham adventure comedy crime drama
hearts in atlantis,Scott Hicks,Anthony Hopkins,Mika Boorem,Hope Davis,Drama Mystery,scott hicks anthony hopkins mika boorem hope davis drama mystery
arachnophobia,Frank Marshall,Julian Sands,Peter Jason,Brian McNamara,Comedy Fantasy Horror Thriller,frank marshall julian sands peter jason brian mcnamara comedy fantasy horror thriller
frequency,Gregory Hoblit,Dennis Quaid,Andre Braugher,Noah Emmerich,Crime Drama Mystery Sci-Fi Thriller,gregory hoblit dennis quaid andre braugher noah emmerich crime drama mystery sci-fi thriller
ghostbusters,Paul Feig,Ed Begley Jr.,Kate McKinnon,Zach Woods,Action Comedy Fantasy Sci-Fi,paul feig ed begley jr. kate mckinnon zach woods action comedy fantasy sci-fi
vacation,John Francis Daley,Chris Hemsworth,Norman Reedus,Beverly D'Angelo,Adventure Comedy,john francis daley chris hemsworth norman reedus beverly d'angelo adventure comedy
get shorty,Barry Sonnenfeld,Delroy Lindo,Rene Russo,Jon Gries,Comedy Crime Thriller,barry sonnenfeld delroy lindo rene russo jon gries comedy crime thriller
chicago,Rob Marshall,Colm Feore,Chita Rivera,Jayne Eastwood,Comedy Crime Musical,rob marshall colm feore chita rivera jayne eastwood comedy crime musical
big daddy,Dennis Dugan,Steve Buscemi,Adam Sandler,Joey Lauren Adams,Comedy Drama,dennis dugan steve buscemi adam sandler joey lauren adams comedy drama
american pie 2,J.B. Rogers,Alyson Hannigan,Shannon Elizabeth,Natasha Lyonne,Comedy,j.b. rogers alyson hannigan shannon elizabeth natasha lyonne comedy
toy story,John Lasseter,Tom Hanks,John Ratzenberger,Jim Varney,Adventure Animation Comedy Family Fantasy,john lasseter tom hanks john ratzenberger jim varney adventure animation comedy family fantasy
speed,Jan de Bont,Keanu Reeves,Alan Ruck,Joe Morton,Action Adventure Crime Thriller,jan de bont keanu reeves alan ruck joe morton action adventure crime thriller
the vow,Michael Sucsy,Channing Tatum,Lucas Bryant,Dillon Casey,Drama Romance,michael sucsy channing tatum lucas bryant dillon casey drama romance
extraordinary measures,Tom Vaughan,Harrison Ford,Brendan Fraser,Alan Ruck,Drama,tom vaughan harrison ford brendan fraser alan ruck drama
remember the titans,Boaz Yakin,Ryan Gosling,Denzel Washington,Ethan Suplee,Biography Drama Sport,boaz yakin ryan gosling denzel washington ethan suplee biography drama sport
the hunt for red october,John McTiernan,Scott Glenn,Jeffrey Jones,Courtney B. Vance,Action Adventure Thriller,john mctiernan scott glenn jeffrey jones courtney b. vance action adventure thriller
lee daniels' the butler,Lee Daniels,Alex Pettyfer,David Oyelowo,Vanessa Redgrave,Biography Drama,lee daniels alex pettyfer david oyelowo vanessa redgrave biography drama
dodgeball: a true underdog story,Rawson Marshall Thurber,Gary Cole,Stephen Root,Joel David Moore,Comedy Sport,rawson marshall thurber gary cole stephen root joel david moore comedy sport
the addams family,Barry Sonnenfeld,Anjelica Huston,Raul Julia,Carel Struycken,Comedy Fantasy,barry sonnenfeld anjelica huston raul julia carel struycken comedy fantasy
ace ventura: when nature calls,Steve Oedekerk,Bruce Spence,Bob Gunton,Sophie Okonedo,Adventure Comedy,steve oedekerk bruce spence bob gunton sophie okonedo adventure comedy
the princess diaries,Garry Marshall,Anne Hathaway,Hector Elizondo,Heather Matarazzo,Comedy Family Romance,garry marshall anne hathaway hector elizondo heather matarazzo comedy family romance
the first wives club,Hugh Wilson,Stockard Channing,Elizabeth Berkley,Stephen Collins,Comedy,hugh wilson stockard channing elizabeth berkley stephen collins comedy
se7en,David Fincher,Morgan Freeman,Brad Pitt,Reg E. Cathey,Crime Drama Mystery Thriller,david fincher morgan freeman brad pitt reg e. cathey crime drama mystery thriller
district 9,Neill Blomkamp,Sharlto Copley,Jed Brophy,Jason Cope,Action Sci-Fi Thriller,neill blomkamp sharlto copley jed brophy jason cope action sci-fi thriller
the spongebob squarepants movie,Stephen Hillenburg,Scarlett Johansson,Bill Fagerbakke,Rodger Bumpass,Adventure Animation Comedy Family Fantasy,stephen hillenburg scarlett johansson bill fagerbakke rodger bumpass adventure animation comedy family fantasy
mystic river,Clint Eastwood,John Doman,Spencer Treat Clark,Tom Guiry,Crime Drama Mystery Thriller,clint eastwood john doman spencer treat clark tom guiry crime drama mystery thriller
million dollar baby,Clint Eastwood,Clint Eastwood,Morgan Freeman,Mike Colter,Drama Sport,clint eastwood clint eastwood morgan freeman mike colter drama sport
analyze this,Harold Ramis,Robert De Niro,Chazz Palminteri,Molly Shannon,Comedy Crime,harold ramis robert de niro chazz palminteri molly shannon comedy crime
the notebook,Nick Cassavetes,Ryan Gosling,Kevin Connolly,Gena Rowlands,Drama Romance,nick cassavetes ryan gosling kevin connolly gena rowlands drama romance
27 dresses,Anne Fletcher,Judy Greer,Bern Cohen,Yetta Gottesman,Comedy Romance,anne fletcher judy greer bern cohen yetta gottesman comedy romance
hannah montana: the movie,Peter Chelsom,Emily Osment,Vanessa Williams,Moises Arias,Comedy Drama Family Music Romance,peter chelsom emily osment vanessa williams moises arias comedy drama family music romance
rugrats in paris: the movie,Stig Bergqvist,Elizabeth Daily,Casey Kasem,Debbie Reynolds,Adventure Animation Comedy Family Romance,stig bergqvist elizabeth daily casey kasem debbie reynolds adventure animation comedy family romance
the prince of tides,Barbra Streisand,George Carlin,Blythe Danner,Melinda Dillon,Drama Romance,barbra streisand george carlin blythe danner melinda dillon drama romance
legends of the fall,Edward Zwick,Anthony Hopkins,Brad Pitt,Julia Ormond,Drama Romance War Western,edward zwick anthony hopkins brad pitt julia ormond drama romance war western
up in the air,Jason Reitman,J.K. Simmons,Anna Kendrick,Chris Lowell,Drama Romance,jason reitman j.k. simmons anna kendrick chris lowell drama romance
about schmidt,Alexander Payne,Hope Davis,June Squibb,Howard Hesseman,Comedy Drama,alexander payne hope davis june squibb howard hesseman comedy drama
warm bodies,Jonathan Levine,Cory Hardrict,Vincent Leclerc,Daniel Rindress-Kay,Comedy Horror Romance,jonathan levine cory hardrict vincent leclerc daniel rindress-kay comedy horror romance
looper,Rian Johnson,Joseph Gordon-Levitt,Bruce Willis,Tracie Thoms,Action Crime Drama Sci-Fi Thriller,rian johnson joseph gordon-levitt bruce willis tracie thoms action crime drama sci-fi thriller
down to earth,Chris Weitz,Chazz Palminteri,Mark Addy,Wanda Sykes,Comedy Fantasy,chris weitz chazz palminteri mark addy wanda sykes comedy fantasy
babe,Chris Noonan,Miriam Margolyes,Christine Cavanaugh,Roscoe Lee Browne,Comedy Drama Family,chris noonan miriam margolyes christine cavanaugh roscoe lee browne comedy drama family
hope springs,David Frankel,Meryl Streep,Steve Carell,Jean Smart,Comedy Drama Romance,david frankel meryl streep steve carell jean smart comedy drama romance
forgetting sarah marshall,Nicholas Stoller,Mila Kunis,Jack McBrayer,Maria Thayer,Comedy Drama Romance,nicholas stoller mila kunis jack mcbrayer maria thayer comedy drama romance
friday night lights,unknown,Zach Gilford,Aimee Teegarden,Scott Porter,Drama Sport,unknown zach gilford aimee teegarden scott porter drama sport
four brothers,John Singleton,Josh Charles,Tony Nappo,Fionnula Flanagan,Action Crime Drama Mystery Thriller,john singleton josh charles tony nappo fionnula flanagan action crime drama mystery thriller
baby mama,Michael McCullers,Tina Fey,Amy Poehler,Romany Malco,Comedy Romance,michael mccullers tina fey amy poehler romany malco comedy romance
hope floats,Forest Whitaker,Bill Cobbs,Harry Connick Jr.,Gena Rowlands,Drama Romance,forest whitaker bill cobbs harry connick jr. gena rowlands drama romance
bride wars,Gary Winick,Anne Hathaway,Steve Howey,Candice Bergen,Comedy Romance,gary winick anne hathaway steve howey candice bergen comedy romance
without a paddle,Steven Brill,Antony Starr,Scott Adsit,Bonnie Somerville,Adventure Comedy Mystery,steven brill antony starr scott adsit bonnie somerville adventure comedy mystery
13 going on 30,Gary Winick,Jennifer Garner,Judy Greer,Christa B. Allen,Comedy Fantasy Romance,gary winick jennifer garner judy greer christa b. allen comedy fantasy romance
midnight in paris,Woody Allen,Kurt Fuller,Audrey Fleurot,Nina Arianda,Comedy Fantasy Romance,woody allen kurt fuller audrey fleurot nina arianda comedy fantasy romance
the nut job,Peter Lepeniotis,Liam Neeson,Brendan Fraser,Sarah Gadon,Adventure Animation Comedy Family,peter lepeniotis liam neeson brendan fraser sarah gadon adventure animation comedy family
blow,Ted Demme,Johnny Depp,Ethan Suplee,Jordi Mollà,Biography Crime Drama,ted demme johnny depp ethan suplee jordi mollà biography crime drama
message in a bottle,Luis Mandoki,Robin Wright,John Savage,Raphael Sbarge,Drama Romance,luis mandoki robin wright john savage raphael sbarge drama romance
star trek v: the final frontier,William Shatner,Leonard Nimoy,Nichelle Nichols,Walter Koenig,Action Adventure Sci-Fi Thriller,william shatner leonard nimoy nichelle nichols walter koenig action adventure sci-fi thriller
like mike,John Schultz,Brenda Song,Robert Forster,Anne Meara,Comedy Family Fantasy Sport,john schultz brenda song robert forster anne meara comedy family fantasy sport
naked gun 33 1/3: the final insult,Peter Segal,George Kennedy,Fred Ward,Priscilla Presley,Comedy Crime,peter segal george kennedy fred ward priscilla presley comedy crime
a view to a kill,John Glen,Patrick Macnee,Alison Doody,Tanya Roberts,Action Adventure Thriller,john glen patrick macnee alison doody tanya roberts action adventure thriller
the curse of the were-rabbit,Steve Box,Mark Gatiss,Geraldine McEwan,Peter Sallis,Animation Comedy Family Mystery Sci-Fi,steve box mark gatiss geraldine mcewan peter sallis animation comedy family mystery sci-fi
p.s. i love you,Richard LaGravenese,Gerard Butler,Harry Connick Jr.,Nellie McKay,Drama Romance,richard lagravenese gerard butler harry connick jr. nellie mckay drama romance
racing stripes,Frederik Du Chau,Bruce Greenwood,Frankie Muniz,M. Emmet Walsh,Adventure Comedy Drama Family Sport,frederik du chau bruce greenwood frankie muniz m. emmet walsh adventure comedy drama family sport
atonement,Joe Wright,Benedict Cumberbatch,Alfie Allen,Brenda Blethyn,Drama Mystery Romance War,joe wright benedict cumberbatch alfie allen brenda blethyn drama mystery romance war
letters to juliet,Gary Winick,Vanessa Redgrave,Marcia DeBonis,Luisa Ranieri,Comedy Drama Romance,gary winick vanessa redgrave marcia debonis luisa ranieri comedy drama romance
black rain,Ridley Scott,Stephen Root,Ken Takakura,Kate Capshaw,Action Crime Thriller,ridley scott stephen root ken takakura kate capshaw action crime thriller
the three stooges,Bobby Farrelly,Kate Upton,Larry David,Sean Hayes,Comedy,bobby farrelly kate upton larry david sean hayes comedy
corpse bride,Tim Burton,Johnny Depp,Christopher Lee,Joanna Lumley,Animation Drama Family Fantasy Musical Romance,tim burton johnny depp christopher lee joanna lumley animation drama family fantasy musical romance
glory road,James Gartner,Mehcad Brooks,Austin Nichols,Derek Luke,Biography Drama Sport,james gartner mehcad brooks austin nichols derek luke biography drama sport
sicario,Denis Villeneuve,Edgar Arreola,Bernardo Saracino,Daniel Kaluuya,Action Crime Drama Mystery Thriller,denis villeneuve edgar arreola bernardo saracino daniel kaluuya action crime drama mystery thriller
southpaw,Antoine Fuqua,Jake Gyllenhaal,50 Cent,Oona Laurence,Drama Sport,antoine fuqua jake gyllenhaal 50 cent oona laurence drama sport
drag me to hell,Sam Raimi,Bojana Novakovic,Alison Lohman,Reggie Lee,Horror Thriller,sam raimi bojana novakovic alison lohman reggie lee horror thriller
the age of adaline,Lee Toland Krieger,Harrison Ford,Michiel Huisman,Ellen Burstyn,Drama Fantasy Romance,lee toland krieger harrison ford michiel huisman ellen burstyn drama fantasy romance
secondhand lions,Tim McCanlies,Haley Joel Osment,Robert Duvall,Emmanuelle Vaugier,Comedy Drama Family,tim mccanlies haley joel osment robert duvall emmanuelle vaugier comedy drama family
step up 3d,Jon M. Chu,Alyson Stoner,Stephen Boss,Facundo Lombard,Drama Music Romance,jon m. chu alyson stoner stephen boss facundo lombard drama music romance
blue crush,John Stockwell,Faizon Love,Mika Boorem,Sanoe Lake,Drama Romance Sport,john stockwell faizon love mika boorem sanoe lake drama romance sport
stranger than fiction,Marc Forster,Will Ferrell,Christian Stolte,Danny Rhodes,Comedy Drama Fantasy Romance,marc forster will ferrell christian stolte danny rhodes comedy drama fantasy romance
30 days of night,David Slade,Danny Huston,Mark Rendall,Megan Franich,Horror,david slade danny huston mark rendall megan franich horror
the cabin in the woods,Drew Goddard,Chris Hemsworth,Bradley Whitford,Kristen Connolly,Fantasy Horror Mystery Thriller,drew goddard chris hemsworth bradley whitford kristen connolly fantasy horror mystery thriller
meet the spartans,Jason Friedberg,Carmen Electra,Diedrich Bader,Method Man,Comedy,jason friedberg carmen electra diedrich bader method man comedy
midnight run,Martin Brest,Robert De Niro,Yaphet Kotto,Philip Baker Hall,Action Comedy Crime Thriller,martin brest robert de niro yaphet kotto philip baker hall action comedy crime thriller
the running man,Paul Michael Glaser,Yaphet Kotto,Maria Conchita Alonso,Richard Dawson,Action Crime Sci-Fi Thriller,paul michael glaser yaphet kotto maria conchita alonso richard dawson action crime sci-fi thriller
little shop of horrors,Frank Oz,Bill Murray,Jim Belushi,Tisha Campbell-Martin,Comedy Horror Musical Sci-Fi,frank oz bill murray jim belushi tisha campbell-martin comedy horror musical sci-fi
hanna,Joe Wright,Jessica Barden,Vicky Krieps,John Macmillan,Action Drama Thriller,joe wright jessica barden vicky krieps john macmillan action drama thriller
the family,unknown,Zach Gilford,Joan Allen,Liam James,Drama Mystery,unknown zach gilford joan allen liam james drama mystery
mortal kombat: annihilation,John R. Leonetti,Brian Thompson,Talisa Soto,Robin Shou,Action Adventure Fantasy Sci-Fi Thriller,john r. leonetti brian thompson talisa soto robin shou action adventure fantasy sci-fi thriller
larry crowne,Tom Hanks,Tom Hanks,Rob Riggle,Randall Park,Comedy Drama Romance,tom hanks tom hanks rob riggle randall park comedy drama romance
carrie,Kimberly Peirce,Chloë Grace Moretz,Judy Greer,Portia Doubleday,Drama Fantasy Horror,kimberly peirce chloë grace moretz judy greer portia doubleday drama fantasy horror
take the lead,Liz Friedlander,Alfre Woodard,Yaya DaCosta,Jasika Nicole,Drama Music,liz friedlander alfre woodard yaya dacosta jasika nicole drama music
entourage,unknown,Debi Mazar,Kevin Connolly,Kevin Dillon,Comedy Drama,unknown debi mazar kevin connolly kevin dillon comedy drama
gridiron gang,Phil Joanou,Dwayne Johnson,Jurnee Smollett-Bell,Kevin Dunn,Crime Drama Sport,phil joanou dwayne johnson jurnee smollett-bell kevin dunn crime drama sport
what's the worst that could happen?,Sam Weisman,Bernie Mac,Larry Miller,Richard Schiff,Comedy Crime,sam weisman bernie mac larry miller richard schiff comedy crime
9,Shane Acker,Martin Landau,Alan Oppenheimer,Tom Kane,Action Adventure Animation Drama Mystery Sci-Fi Thriller,shane acker martin landau alan oppenheimer tom kane action adventure animation drama mystery sci-fi thriller
side effects,Steven Soderbergh,Channing Tatum,David Costabile,Katie Lowes,Crime Drama Thriller,steven soderbergh channing tatum david costabile katie lowes crime drama thriller
the prince and me,Martha Coolidge,Devin Ratray,Miranda Richardson,Luke Mably,Comedy Family Romance,martha coolidge devin ratray miranda richardson luke mably comedy family romance
winnie the pooh,Stephen J. Anderson,Craig Ferguson,Robert Lopez,Huell Howser,Adventure Animation Comedy Family Musical,stephen j. anderson craig ferguson robert lopez huell howser adventure animation comedy family musical
dumb and dumberer: when harry met lloyd,Troy Miller,Elden Henson,Mimi Rogers,Cheri Oteri,Comedy,troy miller elden henson mimi rogers cheri oteri comedy
bulworth,Warren Beatty,Warren Beatty,Kirk Baltz,Graham Beckel,Comedy Drama Romance,warren beatty warren beatty kirk baltz graham beckel comedy drama romance
get on up,Tate Taylor,Tika Sumpter,Josh Hopkins,Aunjanue Ellis,Biography Drama Music,tate taylor tika sumpter josh hopkins aunjanue ellis biography drama music
one true thing,Carl Franklin,Meryl Streep,William Hurt,Tom Everett Scott,Drama,carl franklin meryl streep william hurt tom everett scott drama
virtuosity,Brett Leonard,Denzel Washington,Costas Mandylor,Traci Lords,Action Crime Sci-Fi Thriller,brett leonard denzel washington costas mandylor traci lords action crime sci-fi thriller
my super ex-girlfriend,Ivan Reitman,Rainn Wilson,Eddie Izzard,Wanda Sykes,Comedy Romance Sci-Fi,ivan reitman rainn wilson eddie izzard wanda sykes comedy romance sci-fi
deliver us from evil,Scott Derrickson,Olivia Munn,Dorian Missick,Edgar Ramírez,Horror Mystery Thriller,scott derrickson olivia munn dorian missick edgar ramírez horror mystery thriller
